pass,route_or_section,viewport,final_url,h1,text_chars,h_overflow,axe_serious_critical,axe_moderate_minor,tap_under24,tap_under44,text_under12px,screenshot
anon,/,d1440,/,717Rec — Lancaster's Premier Cornhole League|717Rec — Lancaster's Premier Cornhole League,1716,False,,image-redundant-altx6;regionx3,,,2,
anon,/teams,d1440,/teams,Teams,1854,False,,heading-orderx1;regionx3,,,54,
anon,/teams/3-amigos,d1440,/teams/3-amigos,3 Amigos,452,False,color-contrastx2,regionx3,,,5,
anon,/teams/burning-holes-taking-souls,d1440,/teams/burning-holes-taking-souls,Burning Holes & Taking Souls,484,False,color-contrastx2,regionx3,,,4,
anon,/schedule,d1440,/schedule,,373,False,,page-has-heading-onex1;regionx3,,,16,screenshots/anon/schedule--d1440.jpg
anon,/stats,d1440,/stats,Standings,2547,False,,heading-orderx1;image-redundant-altx26;regionx3,,,2,screenshots/anon/stats--d1440.jpg
anon,/playoffs,d1440,/playoffs,Playoffs,506,False,,heading-orderx1;regionx3,,,2,screenshots/anon/playoffs--d1440.jpg
anon,/playoffs?bracket=22a7745e-0a8a-4682-ad0e-e5701c292927,d1440,/playoffs?bracket=22a7745e-0a8a-4682-ad0e-e5701c292927,Playoffs|22a7745e-0a8a-4682-ad0e-e5701c292927,2103,False,image-altx48;scrollable-region-focusablex1,heading-orderx1;regionx3,,,2,
anon,/history,d1440,/history,Season History,3291,False,,heading-orderx1;regionx3,,,84,
anon,/message-board,d1440,/message-board,Message Board,425,False,,heading-orderx1;regionx3,,,2,
anon,/compare,d1440,/compare,Team Comparison,353,False,button-namex3,regionx3,,,2,
anon,/compare?team1=9ee2b996-99f6-446c-be20-8255ca75d8c8&team2=eb7976c7-fc7f-40e9-926d-d8bd1754003d,d1440,/compare?team1=9ee2b996-99f6-446c-be20-8255ca75d8c8&team2=eb7976c7-fc7f-40e9-926d-d8bd1754003d,Team Comparison,702,False,button-namex3;color-contrastx9,heading-orderx1;image-redundant-altx2;regionx3,,,10,
anon,/insights,d1440,/insights,,1360,False,,page-has-heading-onex1;regionx3,,,9,
anon,/help,d1440,/help,Help & Getting Started,567,False,,heading-orderx1;regionx3,,,2,
anon,/contact,d1440,/contact,Contact Support,815,False,color-contrastx1;link-in-text-blockx1,heading-orderx1;regionx3,,,2,
anon,/auth,d1440,/auth,,374,False,color-contrastx1,page-has-heading-onex1;regionx3,,,2,
anon,/setup-profile,d1440,/auth,,460,False,,page-has-heading-onex1;regionx3,,,2,
anon,/my-team,d1440,/my-team,My Team,479,False,,heading-orderx1;regionx3,,,2,
anon,/oauth/consent,d1440,/oauth/consent,Authorization error,259,False,,landmark-main-is-top-levelx1;landmark-no-duplicate-mainx1;landmark-uniquex1;regionx3,,,2,
